metrics,acc
gptscore_gpt2-large_src_hypo,0.9115646258503401
bartscore_facebook/bart-large-cnn_src_hypo,0.9319727891156463
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.6394557823129252
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.6122448979591837
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.6394557823129252
rouge-1-p_ref_hypo,0.1836734693877551
rouge-1-r_ref_hypo,0.013605442176870748
rouge-1-f_ref_hypo,0.1836734693877551
rouge-2-p_ref_hypo,0.29931972789115646
rouge-2-r_ref_hypo,0.1360544217687075
rouge-2-f_ref_hypo,0.29931972789115646
rouge-l-p_ref_hypo,0.23809523809523808
rouge-l-r_ref_hypo,0.08843537414965986
rouge-l-f_ref_hypo,0.23809523809523808
meteor_ref_hypo,0.4421768707482993
bleu_ref_hypo,0.21768707482993196
moverscore_default_ref_hypo,0.5850340136054422
unieval_fact_consistency_src_hypo,0.5374149659863946
unieval_summarization_coherence_src_hypo,0.6666666666666666
unieval_summarization_consistency_src_hypo,0.47619047619047616
unieval_summarization_fluency_src_hypo,0.54421768707483
unieval_summarization_overall_src_hypo,0.673469387755102
