metrics,acc
gptscore_gpt2-large_src_hypo,0.9566596194503171
bartscore_facebook/bart-large-cnn_src_hypo,0.9556025369978859
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.8488372093023255
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.854122621564482
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.8773784355179705
rouge-1-p_ref_hypo,0.7050739957716702
rouge-1-r_ref_hypo,0.5285412262156448
rouge-1-f_ref_hypo,0.6945031712473573
rouge-2-p_ref_hypo,0.7389006342494715
rouge-2-r_ref_hypo,0.4904862579281184
rouge-2-f_ref_hypo,0.7389006342494715
rouge-l-p_ref_hypo,0.7061310782241015
rouge-l-r_ref_hypo,0.5021141649048626
rouge-l-f_ref_hypo,0.6987315010570825
meteor_ref_hypo,0.7473572938689218
bleu_ref_hypo,0.3054968287526427
moverscore_default_ref_hypo,0.7463002114164905
unieval_fact_consistency_src_hypo,0.828752642706131
unieval_summarization_coherence_src_hypo,0.8128964059196617
unieval_summarization_consistency_src_hypo,0.8171247357293869
unieval_summarization_fluency_src_hypo,0.9482029598308668
unieval_summarization_overall_src_hypo,0.9471458773784355
